[ 2012-05-17T08:42:41+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000629s ]
[ 2012-05-17T08:42:41+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000714s ]
[ 2012-05-17T08:42:43+08:00 ] /xxx/admin.php/Common/verify/random/0.7613228417467326 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:42:45+08:00 ] /xxx/admin.php/Common/verify/random/0.5070584323257208 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:42:46+08:00 ] /xxx/admin.php/Common/verify/random/0.8894861079752445 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:42:46+08:00 ] /xxx/admin.php/Common/verify/random/0.6611160589382052 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:42:47+08:00 ] /xxx/admin.php/Common/verify/random/0.7217606969643384 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:42:47+08:00 ] /xxx/admin.php/Common/verify/random/0.3555067153647542 | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001315s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001464s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001010s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001092s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001141s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001241s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.009923s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010064s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000924s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000677s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000932s ]
[ 2012-05-17T08:43:26+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003785s ]
