[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.034137s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034295s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000848s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000881s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000370s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000787s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003243s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000639s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000769s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ route_check ] --START--
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run CheckRoute Behavior [ RunTime:0.000728s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000842s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ app_begin ] --START--
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000518s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000610s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | NOTIC: [8] Undefined index: id ArticleAction.class.php 第 13 行.
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_template ] --START--
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000692s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000796s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_parse ] --START--
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 34 行.
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | NOTIC: [8] Undefined variable: username 6a0fa1355e20b485f823227ab394fc93.php 第 34 行.
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 101 行.
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 108 行.
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | NOTIC: [8] Undefined variable: article_item 6a0fa1355e20b485f823227ab394fc93.php 第 114 行.
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009462s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009542s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_filter ] --START--
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run ContentReplace Behavior [ RunTime:0.000399s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run TokenBuild Behavior [ RunTime:0.000504s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000244s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000498s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001867s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_end ] --START--
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000413s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000486s ]
[ 2012-05-15T09:39:57+08:00 ] /SiaWeb/admin.php/Article/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001065s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001195s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000731s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8192] Call-time pass-by-reference has been deprecated IndexAction.class.php 第 54 行.
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005228s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000183s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000386s ]
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 130 行.
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 130 行.
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 130 行.
[ 2012-05-15T10:43:17+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 130 行.
